 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.90%))";"branches";"branches (M/sec                    (51.33%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.99%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.19%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.41%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42819291.0;0.0226;1892445370.0;1192.273;415.0;0.261;3.0;0.002;5628083722.0;3.546;8449356298.0;1.5;1543.0;0.972;1046320526.0;0.1859;587335469.0;0.10439999999999999;1587.258138;2.293;0.692134964
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;98240504.0;0.0223;4412031846.0;1186.214;737.0;0.198;3.0;0.001;13323753248.0;3.582;19571272386.0;1.47;1770.0;0.476;2557622340.0;0.192;1386982573.0;0.1041;3719.424198;2.191;1.697973155
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;92930375.0;0.0206;4514281771.0;1221.142;798.0;0.216;3.0;0.001;13224575054.0;3.577;19987473619.0;1.51;1780.0;0.482;2626711991.0;0.1986;1173724503.0;0.0888;3696.771921;2.213;1.670805327
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;92716813.0;0.021400000000000002;4338722627.0;1191.514;775.0;0.213;4.0;0.001;13010058758.0;3.573;19315160647.0;1.48;1779.0;0.489;2508509777.0;0.1928;1366338386.0;0.105;3641.351979;2.201;1.654190685
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;94780354.0;0.0217;4370835829.0;1177.473;808.0;0.218;5.0;0.001;13277489651.0;3.577;19441953002.0;1.46;1779.0;0.479;2661613303.0;0.2005;1423797869.0;0.1072;3712.048412;2.203;1.684985553
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;95860970.0;0.022099999999999998;4345402770.0;1172.075;794.0;0.214;3.0;0.001;13267183257.0;3.579;19361258090.0;1.46;1781.0;0.48;2617780517.0;0.1973;1535032759.0;0.1157;3707.445753;2.207;1.679701767
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;94922708.0;0.0213;4448604220.0;1196.714;796.0;0.214;4.0;0.001;13294916951.0;3.576;19718670874.0;1.48;1779.0;0.479;2671131026.0;0.2009;1370839373.0;0.10310000000000001;3717.349544;2.203;1.687772695
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;92131620.0;0.0209;4403203468.0;1199.839;791.0;0.216;3.0;0.001;13145292689.0;3.582;19540562237.0;1.49;1783.0;0.486;2557627499.0;0.1946;1249049979.0;0.095;3669.829648;2.207;1.663083588
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;93171203.0;0.0212;4395458891.0;1190.136;769.0;0.208;4.0;0.001;13192798989.0;3.572;19557829070.0;1.48;1779.0;0.482;2594521299.0;0.1967;1377917564.0;0.10439999999999999;3693.241141;2.195;1.682271947
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;93416514.0;0.021;4443247616.0;1203.323;758.0;0.205;3.0;0.001;13204306711.0;3.576;19697513580.0;1.49;1786.0;0.484;2589372123.0;0.1961;1289747074.0;0.0977;3692.481126;2.2;1.678324054
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;94259131.0;0.0215;4392296952.0;1189.146;755.0;0.204;4.0;0.001;13205828991.0;3.575;19507234743.0;1.48;1773.0;0.48;2605706646.0;0.1973;1408703749.0;0.1067;3693.657028;2.204;1.676031082
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;91624272.0;0.022099999999999998;4154834238.0;1123.063;769.0;0.208;5.0;0.001;13210096562.0;3.571;18669103733.0;1.41;1773.0;0.479;2691066981.0;0.20370000000000002;1669891755.0;0.1264;3699.556448;2.2;1.681331719
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;98921427.0;0.0226;4369318427.0;1177.358;739.0;0.199;3.0;0.001;13281624633.0;3.579;19405194743.0;1.46;1779.0;0.479;2554311789.0;0.1923;1537376133.0;0.1158;3711.120318;2.191;1.694158181
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;98870866.0;0.0226;4381794373.0;1186.731;791.0;0.214;4.0;0.001;13183577558.0;3.571;19485749973.0;1.48;1776.0;0.481;2499297810.0;0.18960000000000002;1486511336.0;0.1128;3692.324205;2.187;1.68857553
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;96831751.0;0.0213;4552710559.0;1235.644;736.0;0.2;3.0;0.001;13176378437.0;3.576;20093984886.0;1.53;1777.0;0.482;2520193154.0;0.1913;1130917851.0;0.0858;3684.484476;2.19;1.682448622
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"adevs_devstone";"cpdevs";4;25;25;500000;96599138.0;0.023;4197805013.0;1128.334;755.0;0.203;4.0;0.001;13296960377.0;3.574;18835427117.0;1.42;1781.0;0.479;2628898070.0;0.1977;1704577897.0;0.1282;3720.35815;2.197;1.693011156
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;194167562.0;0.0213;9129382159.0;1233.327;1265.0;0.171;4.0;0.001;26524189882.0;3.583;40188170816.0;1.52;2092.0;0.283;5038949080.0;0.19;2314998048.0;0.0873;7402.242064;2.153;3.438312448
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;200465831.0;0.0232;8657975541.0;1167.415;1309.0;0.177;4.0;0.001;26630591766.0;3.591;38535988089.0;1.45;2097.0;0.283;4677241642.0;0.17559999999999998;3487200929.0;0.1309;7416.364368;2.148;3.452480838
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;192037547.0;0.021;9159273011.0;1225.403;1277.0;0.171;3.0;0.0;26798232880.0;3.585;40342331022.0;1.51;2092.0;0.28;5121346843.0;0.1911;2346528295.0;0.0876;7474.496704;2.153;3.471601191
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;184509410.0;0.021400000000000002;8625803512.0;1178.933;1356.0;0.185;3.0;0.0;26227261679.0;3.585;38358605230.0;1.46;2099.0;0.287;4949868653.0;0.1887;3174914785.0;0.1211;7316.616204;2.153;3.397567361
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;198696528.0;0.0227;8746719724.0;1169.452;1336.0;0.179;3.0;0.0;26814987435.0;3.585;38798352553.0;1.45;2099.0;0.281;5021092861.0;0.18719999999999998;3205234512.0;0.1195;7479.333076;2.137;3.500734994
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"adevs_devstone";"cpdevs";4;30;30;500000;185597280.0;0.0209;8875220145.0;1210.937;1319.0;0.18;8.0;0.001;26280915613.0;3.586;39264088969.0;1.49;2098.0;0.286;4985583790.0;0.18969999999999998;2664244935.0;0.1014;7329.218334;2.153;3.404928988
