 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (50.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.01%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.00%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2120531.0;0.0315;67356752.0;127.758;52.0;0.099;0.0;0.0;1879122203.0;3.564;2527860781.0;1.35;514.0;0.975;881363329.0;0.469;21399445.0;0.011399999999999999;527.221254;1.0;0.527462702
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2111316.0;0.0313;67413108.0;127.811;53.0;0.1;0.0;0.0;1877927788.0;3.56;2529963650.0;1.35;519.0;0.984;880416069.0;0.46880000000000005;21575620.0;0.0115;527.444039;1.0;0.527645554
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2021083.0;0.030299999999999997;66719111.0;126.459;55.0;0.104;0.0;0.0;1876172840.0;3.556;2527975392.0;1.35;514.0;0.974;881097799.0;0.4696;20649016.0;0.011000000000000001;527.59526;1.0;0.527769223
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2118279.0;0.031400000000000004;67391971.0;127.782;53.0;0.1;0.0;0.0;1877981569.0;3.561;2529534991.0;1.35;518.0;0.982;880357368.0;0.46880000000000005;21715266.0;0.0116;527.396891;1.0;0.527401112
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2119985.0;0.0318;66761017.0;126.867;53.0;0.101;0.0;0.0;1875828535.0;3.565;2534220971.0;1.35;519.0;0.986;883698927.0;0.4711;21822383.0;0.0116;526.227562;1.0;0.526470597
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2143561.0;0.0317;67625817.0;128.921;56.0;0.107;0.0;0.0;1880848773.0;3.586;2526795292.0;1.34;518.0;0.988;888024092.0;0.4721;21114321.0;0.011200000000000002;524.551824;0.999;0.524825763
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2126660.0;0.032;66432108.0;125.463;53.0;0.1;0.0;0.0;1880199170.0;3.551;2525378745.0;1.34;518.0;0.978;887803961.0;0.4722;22089274.0;0.011699999999999999;529.496031;1.0;0.529705526
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2158292.0;0.032400000000000005;66578022.0;125.757;54.0;0.102;0.0;0.0;1882851272.0;3.556;2521982217.0;1.34;522.0;0.986;888858385.0;0.4721;22242365.0;0.0118;529.417509;1.0;0.529639965
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2158150.0;0.0321;67286351.0;127.918;52.0;0.099;0.0;0.0;1871552749.0;3.558;2529042502.0;1.35;517.0;0.983;884429716.0;0.47259999999999996;21380603.0;0.011399999999999999;526.010061;1.0;0.525833962
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2018584.0;0.0301;67006474.0;128.427;53.0;0.102;0.0;0.0;1877681768.0;3.599;2518283134.0;1.34;519.0;0.995;882196901.0;0.4698;19978730.0;0.0106;521.749385;1.0;0.521666732
