 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.08%))";"branches";"branches (M/sec                    (50.85%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.89%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.52%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.94%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;8004160.0;0.026600000000000002;301213557.0;448.59;409.0;0.609;5.0;0.007;2302499043.0;3.429;1884669297.0;0.82;1323.0;0.002;1416370431.0;0.6151;78009525.0;0.0339;671.467311;3.387;0.198274593
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3129842.0;0.0096;326559615.0;463.46;100.0;0.142;4.0;0.006;2459808831.0;3.491;1990275287.0;0.81;1317.0;0.002;1577116191.0;0.6412;40794851.0;0.0166;704.611922;3.597;0.195889886
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3906916.0;0.0132;295406730.0;379.203;110.0;0.141;4.0;0.005;2689477718.0;3.452;1845695521.0;0.69;1326.0;0.002;1826642195.0;0.6792;52189991.0;0.0194;779.019586;3.426;0.227408486
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;2381829.0;0.008100000000000001;294511176.0;513.772;83.0;0.145;5.0;0.009;1944474042.0;3.392;1841254230.0;0.95;1296.0;0.002;1191529626.0;0.6128;28166795.0;0.014499999999999999;573.233702;3.652;0.15696374
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3722272.0;0.0125;298367874.0;383.894;105.0;0.135;4.0;0.005;2638808442.0;3.395;1862453652.0;0.71;1425.0;0.002;1816162528.0;0.6883;45007679.0;0.0171;777.214683;3.436;0.226201442
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3751706.0;0.0124;303371179.0;424.557;239.0;0.334;4.0;0.006;2473991948.0;3.462;1871241362.0;0.76;1308.0;0.002;1614039063.0;0.6524;47521594.0;0.0192;714.559298;3.524;0.202753412
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3839192.0;0.0127;302691417.0;458.139;94.0;0.142;4.0;0.006;2330999988.0;3.528;1869720934.0;0.8;1307.0;0.002;1481810414.0;0.6357;43282011.0;0.018600000000000002;660.697349;3.737;0.176789357
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;5967566.0;0.02;299006558.0;434.453;209.0;0.304;4.0;0.006;2367760826.0;3.44;1856115651.0;0.78;1327.0;0.002;1477876109.0;0.6242;61394485.0;0.0259;688.237011;3.306;0.20818072
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"dxexmachina_devstone";"cpdevs";4;30;30;500000;9363081.0;0.0217;430952705.0;316.115;156.0;0.114;6.0;0.004;4832413535.0;3.545;2664531716.0;0.55;1631.0;0.001;3549259135.0;0.7345;108012263.0;0.022400000000000003;1363.276105;3.838;0.355174612
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 30 -d 30 -t 500000";"dxexmachina_devstone";"cpdevs";4;30;30;500000;4827329.0;0.0111;436336183.0;314.502;161.0;0.116;6.0;0.004;4862109791.0;3.505;2678838357.0;0.55;1624.0;0.001;3687987679.0;0.7585;77094744.0;0.0159;1387.386687;3.857;0.359735577
