 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (72.30%))";"branches";"branches (M/sec                    (86.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (85.73%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (72.35%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (86.18%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;441376.0;0.021;20979675.0;984.48;0.0;0.0;0.0;0.0;58542609.0;2.747;112567468.0;1.92;124.0;0.006;8616111.0;0.1472;14838009.0;0.2535;21.310409;0.991;0.021497727
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;501775.0;0.0239;21030258.0;960.389;0.0;0.0;0.0;0.0;58548965.0;2.674;112792202.0;1.93;123.0;0.006;8895247.0;0.1519;15178478.0;0.25920000000000004;21.897649;0.992;0.022074152
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;454292.0;0.0215;21099474.0;965.889;0.0;0.0;0.0;0.0;58542987.0;2.68;113254353.0;1.93;126.0;0.006;8948894.0;0.15289999999999998;15904025.0;0.2717;21.844615;0.992;0.022015944
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;434366.0;0.0206;21112313.0;970.486;0.0;0.0;0.0;0.0;58542605.0;2.691;113113288.0;1.93;127.0;0.006;8635034.0;0.1475;15865936.0;0.271;21.75437;0.992;0.021936314
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;421023.0;0.02;21005948.0;989.233;0.0;0.0;0.0;0.0;58546426.0;2.757;112874727.0;1.93;124.0;0.006;8117520.0;0.1387;14899798.0;0.2545;21.234576;0.992;0.021413792
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;486989.0;0.0232;21030423.0;969.166;0.0;0.0;0.0;0.0;58545948.0;2.698;113012113.0;1.93;122.0;0.006;8474735.0;0.1448;14648954.0;0.2502;21.699508;0.99;0.021911284
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;466655.0;0.0222;20980622.0;973.756;0.0;0.0;0.0;0.0;58541679.0;2.717;113029209.0;1.93;124.0;0.006;8600758.0;0.1469;15093033.0;0.25780000000000003;21.546069;0.992;0.021721996
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;441353.0;0.0209;21110153.0;975.355;0.0;0.0;0.0;0.0;58544690.0;2.705;113277432.0;1.93;126.0;0.006;8657833.0;0.1479;15122108.0;0.2583;21.643552;0.992;0.021818914
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;491874.0;0.0233;21107262.0;968.733;0.0;0.0;0.0;0.0;58543595.0;2.687;113359012.0;1.94;126.0;0.006;8638813.0;0.1476;15271644.0;0.2609;21.788524;0.991;0.0219754
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;479268.0;0.0227;21081881.0;959.881;0.0;0.0;0.0;0.0;58540546.0;2.665;113129397.0;1.93;127.0;0.006;9077761.0;0.1551;15919477.0;0.27190000000000003;21.963021;0.992;0.022135188
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;448294.0;0.0212;21099369.0;972.345;0.0;0.0;0.0;0.0;58545226.0;2.698;112489509.0;1.92;126.0;0.006;8725438.0;0.149;15081978.0;0.2576;21.69946;0.99;0.021914243
