 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;9274118.0;0.0174;534334681.0;628.614;48.0;0.056;8068.0;0.009;2106904186.0;2.479;2178266181.0;1.03;137.0;0.161;577531486.0;0.2741;994488656.0;0.47200000000000003;850.020519;1.091;0.779285222
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8872840.0;0.0166;533901448.0;577.26;113.0;0.122;8037.0;0.009;2096916607.0;2.267;2192927748.0;1.05;138.0;0.149;570335631.0;0.272;977177243.0;0.466;924.889644;1.088;0.850118165
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8329364.0;0.015700000000000002;529669039.0;638.48;53.0;0.064;8079.0;0.01;2045788960.0;2.466;2174246793.0;1.06;139.0;0.168;542829165.0;0.26530000000000004;956453269.0;0.4675;829.577949;1.089;0.762031693
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8992240.0;0.0168;535992125.0;655.665;116.0;0.142;8024.0;0.01;2097776970.0;2.566;2221837567.0;1.06;136.0;0.166;561164988.0;0.2675;977837183.0;0.4661;817.478116;1.084;0.754454519
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10672074.0;0.0154;692393430.0;619.238;51.0;0.046;8067.0;0.007;2606838947.0;2.331;2856186539.0;1.1;137.0;0.123;683181933.0;0.2621;1203687860.0;0.4617;1118.137202;1.074;1.040908921
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15177966.0;0.0209;727052312.0;674.886;47.0;0.044;8034.0;0.007;2822303100.0;2.62;3015893418.0;1.07;139.0;0.129;774120462.0;0.2743;1294430756.0;0.4586;1077.295943;1.07;1.006904459
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14942088.0;0.0206;726245863.0;683.618;55.0;0.052;8013.0;0.008;2751608457.0;2.59;3024187021.0;1.1;136.0;0.128;702045218.0;0.2551;1204370399.0;0.43770000000000003;1062.355757;1.072;0.990692302
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10651472.0;0.0155;685438147.0;676.071;62.0;0.061;8019.0;0.008;2581439050.0;2.546;2794906045.0;1.08;138.0;0.136;659332633.0;0.2554;1177286440.0;0.4561;1013.855588;1.074;0.944206135
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14057766.0;0.0194;724918560.0;711.119;58.0;0.057;8024.0;0.008;2720186134.0;2.668;2995885855.0;1.1;136.0;0.133;696677611.0;0.2561;1206337854.0;0.4435;1019.405624;1.07;0.953114127
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15363857.0;0.0213;722188970.0;681.139;42.0;0.04;8053.0;0.008;2748991928.0;2.593;3016931621.0;1.1;138.0;0.13;733484338.0;0.2668;1251294250.0;0.45520000000000005;1060.266038;1.071;0.989589918
